,type,title,year,month,id,genre
334,movie,Enemy of the Church,2024.0,1.0,tt30851979,Drama
335,movie,Who?,2024.0,3.0,tt30851998,Drama
336,movie,Sedin Kuyasha Chilo,2024.0,2.0,tt30853122,Drama
337,movie,Cidade; Campo,2024.0,2.0,tt30858110,Drama
338,movie,Tsena doveriya,2024.0,1.0,tt30868802,Drama
339,movie,Kalo Bou,2024.0,1.0,tt30869202,Drama
340,movie,Exile: Director's Cut,2024.0,2.0,tt30870197,Drama
341,movie,Razaa-e-Ishq,2024.0,1.0,tt30872798,Drama
342,movie,Room Service,2024.0,2.0,tt30876838,Drama
343,movie,Sobhe Edam,2024.0,2.0,tt30877358,Drama
344,movie,Dream Academy,2024.0,2.0,tt30886514,Drama
345,movie,Miranda de Viernes a Lunes,2024.0,6.0,tt30886556,Drama
346,movie,By Day They Meet with Darkness,2024.0,1.0,tt30886572,Drama
347,movie,Criaturas Sorridentes,2024.0,1.0,tt30887050,Drama
348,movie,Titus Puppet Vengeance,2024.0,3.0,tt30888732,Drama
349,movie,30 Hours Survival: Gauraiya Live,2024.0,4.0,tt30889608,Drama
350,movie,The Sabarmati Report,2024.0,11.0,tt30889755,Drama
351,movie,The Diary of West Bengal,2024.0,8.0,tt30893648,Drama
352,movie,Dogeudeijeu,2024.0,2.0,tt30911335,Drama
353,movie,Last Swim,2024.0,10.0,tt30918821,Drama
354,movie,Black Men Don't Cheat,2024.0,2.0,tt30947569,Drama
355,movie,Tienes 24 horas,2024.0,2.0,tt30949192,Drama
356,movie,Quell'estate con Irène,2024.0,5.0,tt30949231,Drama
357,movie,Nepton,2024.0,2.0,tt30950894,Drama
358,movie,Cu Li không bao gio khóc,2024.0,11.0,tt30953660,Drama
359,movie,The Wrong Movie,2024.0,2.0,tt30954062,Drama
360,movie,Ensaios sobre Yves,2024.0,5.0,tt30954419,Drama
361,movie,Pieces 2024,2024.0,1.0,tt30954530,Drama
363,movie,La piel en primavera,2024.0,6.0,tt30958042,Drama
364,movie,Jamai Bou Batpar,2024.0,1.0,tt30958781,Drama
365,movie,Can lan de ta,2024.0,3.0,tt30959032,Drama
366,movie,Xiao Ban Jie,2024.0,2.0,tt30959077,Drama
367,movie,Evor,2024.0,3.0,tt30969928,Drama
368,movie,Article 370,2024.0,2.0,tt30970235,Drama
369,movie,Raíz,2024.0,7.0,tt30970632,Drama
370,movie,Mr Patrick Wahala in America,2024.0,1.0,tt30970938,Drama
371,movie,Boundary Waters,2024.0,10.0,tt30971388,Drama
372,movie,Apatiya,2024.0,2.0,tt30971472,Drama
373,movie,Eiga Karakai Jôzu no Takagi-san,2024.0,5.0,tt30971598,Drama
374,movie,A Stripper's Dance,2024.0,2.0,tt30972437,Drama
375,movie,It's All or Nothing,2024.0,4.0,tt30972487,Drama
376,movie,Wisdom's House: Director's Cut,2024.0,1.0,tt30972648,Drama
